SampleID,MPG,RiverSystem,Site,Habitat,SnohomishRegion,LifeHistory,MCL_mm,MCW_g,nHatchery,nWild,Natural_%,MajorityOrigin,Lipids_%,HCB ,aHCH ,bHCH ,lindane ,SumHCHs ,achlor ,cno ,bchlor ,hept ,HPE ,no3 ,oxychlor ,tno ,SumCHLDs ,aldrin ,diel ,mirex ,eslf1 ,cb17 ,cb18 ,cb28 ,cb31 ,cb33 ,cb44 ,cb49 ,cb52 ,cb66 ,cb70 ,cb74 ,cb82 ,cb87 ,cb95 ,cb99 ,cb101 ,cb105 ,cb110 ,cb118 ,cb128 ,cb138 ,cb149 ,cb151 ,cb153 ,cb156 ,cb158 ,cb170 ,cb171 ,cb177 ,cb180 ,cb183 ,cb187 ,cb191 ,cb194 ,cb195 ,cb199 ,cb205 ,cb206 ,cb208 ,cb209 ,Sum40CBs ,TotalPCBs ,opDDD ,opdde ,opDDT ,ppDDD ,ppDDE ,ppDDT ,SumDDTs ,BDE28 ,BDE47 ,BDE49 ,BDE66 ,BDE85 ,BDE99 ,BDE100 ,BDE153 ,BDE154 ,BDE155 ,BDE183 ,Sum47+99,SumBDE ,UWdeltaN_FINAL,UW_deltaC_NotExt,UW_C:N,UW_deltaC_CalcFINAL,UW_deltaS_FINAL,NOAA_delta 13C,NOAA_delta 15N
16ST-TW_Dfp01r1,Central Eastern,Stilliguamish ,Zis a bah,Delta,,fry/parr,48.6175,1.625,0,4,100,Wild,1.055581584,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.59,< 0.20,< 0.59,< 0.20,0.5,< 0.20,< 0.59,< 0.20,0.24,0.22,0.26,< 0.20,< 0.20,< 0.21,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,0.22,0.34,< 0.20,0.36,0.4,< 0.21,0.69,0.3,< 0.20,0.75,< 0.20,< 0.20,< 0.21,< 0.21,< 0.21,< 0.20,< 0.20,< 0.20,< 0.21,< 0.20,< 0.20,< 0.21,< 0.20,< 0.20,< 0.20,< 0.20,3.8,5.3,< 0.20,< 0.21,< 0.20,< 0.20,3.2,0.45,3.7,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,,,,,,,
16ST-TW_Dfp01r2,Central Eastern,Stilliguamish ,Zis a bah,Delta,,fry/parr,71.7175,4.125,2,2,50,Hatchery/Wild,1.16638342,< 0.25,< 0.24,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.71,< 0.25,< 0.71,< 0.25,0.35,< 0.25,< 0.72,< 0.25,0.26,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,0.32,< 0.25,0.35,0.42,< 0.25,0.77,0.32,< 0.25,0.81,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,< 0.25,3.3,5.2,< 0.25,< 0.25,< 0.25,< 0.24,2.3,0.37,2.6,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,12.6747,-17.2402,3.217077286,-17.37529349,13.783,,
16ST-TW_Dfp02,Central Eastern,Stilliguamish ,Delta Purple Martin Way,Delta,,fry/parr,72.362,4.34,5,0,0,Hatchery,2.66474413,0.35,< 0.21,< 0.21,< 0.21,< 0.21,< 0.21,< 0.21,< 0.21,< 0.21,< 0.22,< 0.21,< 0.62,0.23,0.23,< 0.21,0.24,< 0.21,< 0.62,< 0.21,0.32,0.29,0.31,< 0.21,< 0.21,< 0.22,0.25,< 0.21,0.26,< 0.21,< 0.21,< 0.22,< 0.21,0.36,0.54,0.25,0.49,0.58,< 0.22,1.1,0.51,< 0.21,1.2,< 0.21,< 0.21,< 0.22,< 0.22,< 0.22,0.28,< 0.21,0.33,< 0.22,< 0.22,< 0.22,< 0.22,< 0.22,< 0.21,< 0.22,< 0.21,7.1,10,< 0.21,< 0.22,< 0.21,0.22,2.4,< 0.22,2.7,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,11.6162,-20.357,3.836234503,-19.87912784,12.2185,,
16ST-TW_Dfp03,Central Eastern,Stilliguamish ,Synova Beach,Delta,,fry/parr,77.574,6.06,5,0,0,Hatchery,2.362780831,0.36,< 0.18,< 0.19,< 0.19,< 0.19,< 0.19,< 0.18,< 0.18,< 0.19,< 0.19,< 0.19,< 0.53,0.32,0.32,< 0.19,0.31,< 0.19,< 0.53,< 0.18,0.31,0.31,0.33,0.2,< 0.19,0.2,0.26,0.2,0.25,< 0.19,< 0.18,0.2,0.21,0.4,0.55,0.29,0.5,0.66,< 0.19,1.2,0.46,< 0.19,1.3,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,0.34,< 0.19,0.31,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,8.5,12,< 0.19,< 0.19,< 0.19,0.23,2.6,< 0.19,2.9,< 0.18,0.99,0.26,< 0.19,< 0.19,0.21,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,1.2,1.5,11.6335,-20.5724,3.718925074,-20.21066418,10.9348,,
16ST-TW_Dfp04r1,Central Eastern,Stilliguamish ,Clown Channel,Delta,,fry/parr,50.46666667,1.577777778,0,9,100,Wild,1.236879004,0.15,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.31,0.18,0.18,< 0.11,0.11,< 0.11,< 0.31,0.12,0.31,0.27,0.31,0.2,0.13,0.14,0.17,0.13,0.19,< 0.11,< 0.11,0.16,0.13,0.27,0.42,0.23,0.41,0.5,0.16,0.94,0.37,0.11,1.1,< 0.11,< 0.11,0.13,< 0.11,< 0.11,0.28,< 0.11,0.26,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,7.4,10,< 0.11,< 0.11,< 0.11,< 0.11,1.8,0.11,1.9,< 0.11,1.2,0.26,< 0.11,< 0.11,1.4,0.29,< 0.11,< 0.11,< 0.11,< 0.11,2.6,3.1,,,,,,,
16ST-TW_Dfp04r2,Central Eastern,Stilliguamish ,Clown Channel,Delta,,fry/parr,66.43833333,3.7,4,2,33.33333333,Hatchery,2.237493672,0.27,< 0.098,< 0.10,< 0.10,< 0.10,< 0.10,< 0.099,< 0.099,< 0.10,< 0.10,< 0.10,< 0.29,0.27,0.27,< 0.10,0.15,< 0.10,< 0.29,0.13,0.34,0.32,0.37,0.22,0.18,0.19,0.28,0.19,0.24,0.13,< 0.099,0.17,0.2,0.4,0.49,0.26,0.46,0.57,0.19,1.2,0.43,0.14,1.4,< 0.10,< 0.10,0.14,< 0.10,< 0.10,0.34,0.12,0.27,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,9.3,12,< 0.10,< 0.10,< 0.10,0.19,2.3,0.15,2.6,< 0.099,0.8,0.25,< 0.10,< 0.10,0.27,0.17,< 0.10,< 0.10,< 0.10,< 0.10,1.07,1.5,11.6471,-20.676,3.687388125,-20.34548576,11.1786,,
16ST-TW_Hp01,Central Eastern,Stilliguamish ,NF Stilly Whitehorse Hatchery,Hatchery,,parr,71.01,4.1,6,0,0,Hatchery,5.979742527,0.36,< 0.098,< 0.10,< 0.10,< 0.10,< 0.10,< 0.099,< 0.099,< 0.10,< 0.10,< 0.10,0.47,0.26,0.73,< 0.10,0.15,< 0.10,< 0.29,0.16,0.41,0.39,0.44,0.27,0.24,0.27,0.39,0.25,0.34,0.17,< 0.099,0.2,0.33,0.43,0.69,0.31,0.63,0.68,0.18,1.2,0.62,0.18,1.4,< 0.10,< 0.10,0.12,< 0.10,0.11,0.3,0.1,0.36,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,11,14,< 0.10,< 0.10,< 0.10,0.32,2.8,< 0.10,3.2,< 0.099,0.68,0.27,< 0.10,< 0.10,0.2,0.13,< 0.10,< 0.10,< 0.10,< 0.10,0.88,1.3,11.9037,-20.867,4.751102108,-19.48340891,13.0708,-19.37553392,12.54036147
16ST-TW_Hp01,Central Eastern,Stilliguamish ,NF Stilly Whitehorse Hatchery,Hatchery,,parr,71.01,4.1,6,0,0,Hatchery,5.979742527,0.36,< 0.098,< 0.10,< 0.10,< 0.10,< 0.10,< 0.099,< 0.099,< 0.10,< 0.10,< 0.10,0.47,0.26,0.73,< 0.10,0.15,< 0.10,< 0.29,0.16,0.41,0.39,0.44,0.27,0.24,0.27,0.39,0.25,0.34,0.17,< 0.099,0.2,0.33,0.43,0.69,0.31,0.63,0.68,0.18,1.2,0.62,0.18,1.4,< 0.10,< 0.10,0.12,< 0.10,0.11,0.3,0.1,0.36,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,< 0.10,11,14,< 0.10,< 0.10,< 0.10,0.32,2.8,< 0.10,3.2,< 0.099,0.68,0.27,< 0.10,< 0.10,0.2,0.13,< 0.10,< 0.10,< 0.10,< 0.10,0.88,1.3,11.9037,-20.867,4.751102108,-19.48340891,13.0708,-19.65612764,12.59818244
16ST-TW_Nfp01,Central Eastern,Stilliguamish ,Triangle Cove,Nearshore,,fry/parr,68.582,4,4,1,20,Hatchery,1.144570868,0.22,< 0.15,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.45,< 0.16,< 0.45,< 0.16,< 0.16,< 0.16,< 0.45,< 0.16,0.29,0.26,0.29,0.2,< 0.16,0.17,0.21,0.17,0.2,< 0.16,< 0.16,< 0.16,0.17,0.28,0.48,0.21,0.42,0.44,< 0.16,0.9,0.44,< 0.16,0.99,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,0.22,< 0.16,0.27,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,6.6,8.9,< 0.16,< 0.16,0.28,0.17,1.6,< 0.16,2.1,< 0.16,0.42,0.24,< 0.16,< 0.16,0.18,< 0.16,< 0.16,< 0.16,< 0.16,< 0.16,0.6,0.84,12.1458,-18.5731,3.488466627,-18.43951804,12.6568,,
16ST-TW_Nfp02,Central Eastern,Stilliguamish ,Driftwood Shores Acres,Nearshore,,fry/parr,68.282,3.36,5,0,0,Hatchery,1.176797384,0.27,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.55,< 0.19,< 0.55,< 0.19,< 0.19,< 0.19,< 0.55,< 0.19,0.31,0.28,0.29,0.21,< 0.19,< 0.19,0.21,< 0.19,0.23,< 0.19,< 0.19,< 0.19,< 0.19,0.33,0.5,0.21,0.48,0.52,< 0.19,1.1,0.52,< 0.19,1.2,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,0.26,< 0.19,0.32,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,6.9,9.6,< 0.19,< 0.19,< 0.19,< 0.19,1.9,< 0.19,1.9,< 0.19,0.38,0.22,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,< 0.19,0.57,0.6,12.058,-18.5375,3.360446979,-18.53065749,12.8335,,
16ST-TW_Nfp03,Central Eastern,Stilliguamish ,S Camano CC,Nearshore,,fry/parr,71.86,4.15,6,0,0,Hatchery,1.945401038,0.35,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.50,< 0.17,< 0.50,< 0.17,< 0.17,< 0.17,< 0.50,< 0.17,0.36,0.32,0.31,0.23,0.19,0.21,0.27,0.21,0.26,< 0.17,< 0.17,0.19,0.22,0.42,0.67,0.26,0.59,0.6,0.18,1.3,0.65,0.18,1.5,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,0.32,< 0.17,0.39,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,< 0.17,9.8,13,< 0.17,< 0.17,< 0.17,0.21,1.8,< 0.17,2,< 0.17,0.63,0.25,< 0.17,< 0.17,0.23,0.19,< 0.17,< 0.17,< 0.17,< 0.17,0.86,1.3,11.436,-18.8017,3.50224319,-18.65447924,12.488,,
16ST-TW_Nfp04,Central Eastern,Stilliguamish ,Kayak Point,Nearshore,,fry/parr,64.888,3.62,5,0,0,Hatchery,1.496862764,0.83,< 0.12,< 0.12,< 0.12,< 0.12,0.12,0.17,< 0.12,< 0.12,< 0.12,< 0.12,< 0.34,0.58,0.87,< 0.12,0.17,< 0.12,< 0.34,0.13,0.34,0.35,0.34,0.22,0.2,0.25,0.38,0.26,0.3,0.17,< 0.12,0.27,0.36,0.7,0.96,0.4,0.78,0.92,0.33,2.1,0.86,0.27,2.6,< 0.12,0.16,0.26,< 0.12,0.22,0.68,0.27,0.68,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,16,21,< 0.12,< 0.12,< 0.12,0.33,4.3,0.14,4.8,< 0.12,2.9,0.39,< 0.12,0.18,4.1,0.96,0.51,0.35,< 0.12,< 0.12,7,9.4,12.2955,-18.9094,3.451925283,-18.81199397,13.8579,,
16ST-TW_Rfp01,Central Eastern,Stilliguamish ,South Fork Seine (Klein Farm),River,,fry/parr,43.658,0.96,1,9,90,Wild,1.830443819,0.22,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.59,0.26,0.26,< 0.20,< 0.20,< 0.20,< 0.59,< 0.20,0.42,0.4,0.39,0.3,0.21,0.21,0.31,0.23,0.31,< 0.20,< 0.20,0.26,0.31,0.54,0.87,0.32,0.72,0.72,< 0.20,1.5,0.79,0.23,1.7,< 0.20,< 0.20,< 0.21,< 0.21,< 0.20,0.38,< 0.20,0.45,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,< 0.20,12,15,< 0.20,< 0.20,< 0.20,< 0.20,3,< 0.20,3,< 0.20,1.5,0.39,< 0.21,< 0.20,0.81,0.43,< 0.20,< 0.20,< 0.20,< 0.20,2.31,3.2,,,,,,,
16ST-TW_Tp01,Central Eastern,Stilliguamish ,Stilly Trap,River,,parr,86.882,7.66,4,1,20,Hatchery,2.568883502,0.25,< 0.17,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.51,< 0.18,< 0.51,< 0.18,< 0.18,< 0.18,< 0.51,< 0.18,0.34,0.33,0.31,0.23,< 0.18,< 0.18,0.19,< 0.18,0.2,< 0.18,< 0.18,< 0.18,< 0.18,0.23,0.42,0.21,0.45,0.5,< 0.18,0.91,0.42,< 0.18,0.98,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,0.26,< 0.18,0.27,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,< 0.18,6.2,8.8,< 0.18,< 0.18,< 0.18,< 0.17,1.9,< 0.18,1.9,< 0.18,0.54,0.26,< 0.18,< 0.18,0.53,0.19,< 0.18,< 0.18,< 0.18,< 0.18,1.07,1.5,9.6331,-21.9764,3.687430457,-21.64584385,4.6771,,
16SK-TW_Df01,Central Eastern,Skagit ,Swinomish Channel Old Bridge Blind,Delta,,fry,50.529,1.16,0,10,100,Wild,1.159207497,0.44,< 0.12,< 0.12,< 0.12,< 0.12,1.2,0.64,0.88,< 0.12,< 0.12,0.14,0.36,1.9,5.1,< 0.12,0.3,< 0.12,< 0.12,< 0.12,0.17,0.18,0.2,< 0.12,0.13,0.14,0.19,0.16,0.21,< 0.12,< 0.12,< 0.12,0.19,0.4,0.55,0.25,0.46,0.56,0.17,1.2,0.47,< 0.12,1.3,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.33,< 0.12,0.38,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,7.6,11,< 0.12,< 0.12,0.2,0.32,5.7,1.1,7.4,< 0.12,1.4,0.24,< 0.12,< 0.12,1.1,0.37,< 0.12,< 0.12,< 0.12,< 0.12,2.5,3,13.2417,-18.0093,3.500166118,-17.86413554,14.5324,-17.49711487,13.31895065
16SK-TW_Df02,Central Eastern,Skagit ,IKA Upper,Delta,,fry,48.515,1.05,0,10,100,Wild,1.221525177,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.18,0.18,< 0.13,0.14,< 0.13,< 0.13,< 0.13,0.18,0.19,0.21,< 0.13,< 0.13,< 0.14,< 0.13,< 0.13,0.14,< 0.13,< 0.13,< 0.13,< 0.13,0.26,0.35,0.18,0.32,0.4,< 0.13,0.8,0.35,< 0.13,0.93,< 0.13,< 0.13,< 0.14,< 0.14,< 0.13,0.21,< 0.13,0.26,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,4.8,7,< 0.13,< 0.13,< 0.13,< 0.13,3.2,0.39,3.6,< 0.13,0.85,0.22,< 0.13,< 0.13,0.66,0.21,< 0.13,< 0.13,< 0.13,< 0.13,1.51,1.9,12.0306,-20.7045,3.574638078,-20.4856083,9.4032,-20.67522843,11.99006541
16SK-TW_Df02,Central Eastern,Skagit ,IKA Upper,Delta,,fry,48.515,1.05,0,10,100,Wild,1.221525177,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.18,0.18,< 0.13,0.14,< 0.13,< 0.13,< 0.13,0.18,0.19,0.21,< 0.13,< 0.13,< 0.14,< 0.13,< 0.13,0.14,< 0.13,< 0.13,< 0.13,< 0.13,0.26,0.35,0.18,0.32,0.4,< 0.13,0.8,0.35,< 0.13,0.93,< 0.13,< 0.13,< 0.14,< 0.14,< 0.13,0.21,< 0.13,0.26,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,4.8,7,< 0.13,< 0.13,< 0.13,< 0.13,3.2,0.39,3.6,< 0.13,0.85,0.22,< 0.13,< 0.13,0.66,0.21,< 0.13,< 0.13,< 0.13,< 0.13,1.51,1.9,12.0306,-20.7045,3.574638078,-20.4856083,9.4032,-20.29720634,12.07380612
16SK-TW_Df04,Central Eastern,Skagit ,Browns SI Diked Side,Delta,,fry,51.418,1.47,0,10,100,Wild,1.168525317,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.23,0.23,< 0.12,0.4,< 0.12,< 0.12,< 0.12,0.17,0.17,0.18,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.17,0.25,0.14,0.27,0.3,< 0.12,0.63,0.27,< 0.12,0.73,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.18,< 0.12,0.23,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,3.7,5.6,0.14,< 0.12,0.22,0.77,5.4,1.2,7.7,< 0.12,0.47,0.18,< 0.12,< 0.12,0.37,0.16,< 0.12,< 0.12,< 0.12,< 0.12,0.84,1.2,12.562,-22.9781,3.464115534,-22.86862562,9.8348,-23.40809432,12.1864573
16SK-TW_Df06,Central Eastern,Skagit ,Tom Moore,Delta,,fry,42.512,0.69,0,10,100,Wild,1.344555674,0.16,< 0.10,< 0.11,< 0.11,< 0.11,< 0.11,0.22,< 0.11,< 0.11,< 0.11,< 0.11,0.16,0.68,1.1,< 0.11,0.18,< 0.11,< 0.11,< 0.11,0.2,0.2,0.21,0.13,0.12,0.13,0.19,0.15,0.2,< 0.11,< 0.11,0.13,0.2,0.38,0.56,0.23,0.46,0.5,0.17,1.1,0.5,0.14,1.2,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,0.27,< 0.11,0.35,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,7.7,11,< 0.11,< 0.11,0.11,0.39,5.3,0.68,6.4,< 0.11,1.2,0.27,< 0.11,< 0.11,0.55,0.26,< 0.11,< 0.11,< 0.11,< 0.11,1.75,2.3,,,,,,,
16SK-TW_Dp01,Central Eastern,Skagit ,Swinomish Ch Site 55,Delta,,parr,68.916,3.6,0,5,100,Wild,0.901394682,0.17,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,0.11,< 0.11,< 0.11,< 0.11,< 0.11,0.23,0.38,0.73,< 0.11,0.19,< 0.11,< 0.11,< 0.11,0.21,0.19,0.21,0.14,< 0.11,0.11,0.12,< 0.11,0.14,< 0.11,< 0.11,< 0.11,< 0.11,0.2,0.27,0.16,0.29,0.36,< 0.11,0.66,0.24,< 0.11,0.73,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,0.22,< 0.11,0.2,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,< 0.11,4.4,6.2,< 0.11,< 0.11,< 0.11,0.35,4.7,0.5,5.5,< 0.11,0.75,0.21,< 0.11,< 0.11,0.78,0.21,< 0.11,< 0.11,< 0.11,< 0.11,1.53,2,10.4922,-19.7099,3.379047173,-19.6846433,9.6863,-19.57526209,10.19960938
16SK-TW_Dp03,Central Eastern,Skagit ,Fish Town Bar/Fishtown Bar Area,Delta,,parr,60.434,2.52,0,5,100,Wild,1.017155354,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.15,0.15,< 0.13,0.23,< 0.13,< 0.13,< 0.13,0.19,0.2,0.2,0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.16,< 0.13,< 0.13,< 0.13,< 0.13,0.17,0.23,< 0.13,0.23,0.3,< 0.13,0.59,0.2,< 0.13,0.64,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,0.2,< 0.13,0.18,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,< 0.13,3.6,5.1,< 0.13,< 0.13,< 0.13,< 0.13,2.3,0.17,2.5,< 0.13,0.67,0.19,< 0.13,< 0.13,0.73,0.24,< 0.13,< 0.13,< 0.13,< 0.13,1.4,1.8,7.9578,-24.6452,3.499700722,-24.50049629,3.335,-24.2177241,7.779104241
16SK-TW_Dp05r1,Central Eastern,Skagit ,Freshwater Sl 521/ Freshwater Slough Boat Ramp,Delta,,parr,63.024,3.14,0,5,100,Wild,1.017375381,0.13,< 0.095,< 0.097,< 0.097,< 0.097,< 0.097,< 0.096,< 0.096,< 0.097,< 0.097,< 0.097,0.13,0.16,0.28,< 0.097,0.29,< 0.097,< 0.097,< 0.096,0.2,0.18,0.2,0.13,0.11,0.11,0.12,0.11,0.15,< 0.097,< 0.096,< 0.097,< 0.097,0.16,0.23,0.15,0.25,0.32,0.1,0.57,0.21,< 0.097,0.64,< 0.097,< 0.097,< 0.098,< 0.098,< 0.098,0.18,< 0.097,0.18,< 0.098,< 0.097,< 0.097,< 0.098,< 0.097,< 0.097,< 0.097,< 0.097,4.3,6,< 0.097,< 0.098,< 0.097,0.21,2.6,0.27,3.1,< 0.096,1,0.22,< 0.098,< 0.097,1.2,0.26,0.14,< 0.097,< 0.097,< 0.097,2.2,2.9,8.2755,-24.0966,3.489409561,-23.96208453,1.9034,,
16SK-TW_Dp05r2,Central Eastern,Skagit ,Freshwater Sl 521/ Freshwater Slough Boat Ramp,Delta,,parr,73.492,4.3,0,5,100,Wild,1.255109877,0.16,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.2,0.2,< 0.12,0.32,< 0.12,< 0.12,< 0.12,0.21,0.21,0.22,0.14,< 0.12,< 0.12,0.14,< 0.12,0.18,< 0.12,< 0.12,< 0.12,< 0.12,0.15,0.25,0.17,0.31,0.34,< 0.12,0.51,0.2,< 0.12,0.54,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,0.15,< 0.12,0.14,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,< 0.12,3.9,5.3,< 0.12,< 0.12,< 0.12,0.31,3.2,0.39,3.9,< 0.12,1.1,0.23,< 0.12,< 0.12,1.1,0.25,0.14,< 0.12,< 0.12,< 0.12,2.2,2.8,7.7187,-23.9726,3.546425611,-23.78163865,2.7741,,
16DN-TW_Dp01,North West,Dungeness ,Ulva,Delta,,parr,76.82333333,5.366666667,2,1,33.33333333,Hatchery,2.706625331,0.27,< 0.075,< 0.076,< 0.076,< 0.076,0.09,9.60E-02,< 0.076,< 0.076,< 0.076,< 0.076,0.33,0.22,0.74,< 0.076,8.10E-02,< 0.076,< 0.076,8.20E-02,0.2,0.21,0.23,0.13,0.16,0.2,0.27,0.2,0.24,0.11,< 0.076,0.13,0.29,0.39,0.58,0.22,0.51,0.51,0.18,1.1,0.57,0.16,1.3,< 0.076,< 0.076,0.15,< 0.077,0.11,0.38,0.12,0.39,< 0.077,< 0.077,< 0.077,< 0.077,< 0.076,< 0.076,< 0.077,< 0.076,9.2,12,< 0.076,< 0.077,0.54,0.37,2.1,0.1,3.1,< 0.076,0.26,0.2,< 0.077,< 0.076,8.30E-02,< 0.076,< 0.076,< 0.076,< 0.077,< 0.077,0.343,0.54,10.9097,-20.9869,3.957674934,-20.38880182,9.0674,,
